38	随着校园线上交流场景由“信息发布”逐步转向“内容互动、趋势洞察与治理协同”，传统论坛以时间倒序为核心的组织方式，已难以同时满足高校社区在内容分发效率、风险控制与数据辅助决策方面的综合需求。围绕这一现实问题，本文结合本人独立实现的 Campus Pulse 项目，设计并实现了一套面向校园内容交流与技术协作场景的智能社区平台。
39	系统采用 Spring Boot 3.5.8、Spring Security、MyBatis-Plus、MySQL、Redis 与 Vue 3 + TypeScript 的前后端分离架构，构建了注册登录、帖子发布、评论回复、点赞收藏、私信通知、板块管理、版主审核、趋势统计与后台运维等完整业务链路。后端通过 JWT 会话令牌、设备标识校验、请求签名与二步验证增强安全性；通过 Redis 版本化缓存、热度衰减任务和 WebSocket 推送提升交互实时性；通过 AI 标签/摘要提取、情感打分和混合推荐机制增强内容理解与分发能力。
40	关键词：校园内容社区；趋势分析；权限控制；混合推荐；实时通知
49	With campus online communities shifting from simple information boards to interactive content spaces, chronological forum models are no longer sufficient for efficient distribution, risk control, and operational insight. Based on the Campus Pulse project implemented in this study, this paper designs and develops an intelligent community platform for campus-oriented content communication and collaborative governance.
50	The system adopts a front-end/back-end separated architecture built with Spring Boot 3.5.8, Spring Security, MyBatis-Plus, MySQL, Redis, Vue 3 and TypeScript. It provides user registration and login, post publishing, threaded comments, likes, favorites, private messages, notifications, moderator review, trend statistics and administrative management. Security is strengthened through JWT session tokens, device verification, request signatures and TOTP-based two-factor authentication. Real-time responsiveness is improved through Redis versioned caching, scheduled hotness decay and WebSocket push, while AI-assisted tag extraction, summary generation, sentiment scoring and hybrid recommendation enhance content understanding and distribution.
51	Key words: campus community; trend analysis; access control; hybrid recommendation; real-time notification
86	近几年，高校信息服务明显走向社区化。课程交流、活动组织、资源共享和经验讨论，都要求在统一平台完成浏览、互动与反馈。与传统论坛相比，校园社区更新更快、话题更碎、反馈更即时，若仍只依赖时间排序和人工巡查，就难以及时发现高价值内容、异常舆情和兴趣变化[1][2][8][9]。
87	本课题的意义体现在应用、技术和实践三个层面。应用上，Campus Pulse 将内容发布与运营决策放入同一系统，让普通用户、版主和管理员围绕统一数据协同。技术上，项目把前后端分离、缓存、实时推送、推荐与安全治理整合到同一工程，验证了中小规模校园社区的实现路径[3][4][8][9]。实践上，系统通过热度衰减、板块审核、举报流转和通知反馈，为高校数字社区治理提供了工程样例。
89	本文围绕 Campus Pulse 的真实实现展开，研究内容直接对应代码、数据库与前端页面。核心任务是完成校园社区平台的整体架构设计与业务实现，包括用户认证、内容发布、评论互动、私信通知、板块治理、后台管理和趋势展示等模块，形成可运行的前后端分离系统。
90	其次，针对校园社区高频访问与安全风险并存的特点，系统采用 Spring Security + JWT + Redis 认证链路，并加入设备绑定、请求签名、防重放和 TOTP 二步验证；性能侧则通过版本化缓存、分页查询、定时任务和异步处理保证主要接口响应效率[4][10][14][15]。
91	再次，在内容智能化方面，系统接入外部 AI 服务完成标签提取与摘要生成，在本地实现敏感词过滤、情感分析、热度计算和混合推荐，并用热榜、关键词聚合和趋势预测为管理员提供辅助决策。本文希望说明，校园社区平台不仅能完成功能搭建，还能在真实业务链路中稳定运行并具备扩展空间[3][5][6][7][11][12]。
108	项目采用典型的 B/S 架构。前端由 Vue 3 + TypeScript + Vite 构建单页应用，后端由 Spring Boot 处理认证、业务规则、数据访问与实时推送，前后端通过 REST API 与 WebSocket 通信。这种方式部署成本低、迭代效率高，适合校园社区系统[4][8][9]。
109	后端采用 Controller / Service / Mapper 分层。Controller 处理接口与参数校验，Service 负责业务编排和权限，Mapper 基于 MyBatis-Plus 访问数据库；MySQL 负责持久化，Redis 负责缓存、会话和版本号管理。该结构降低了耦合度，也便于分别验证接口层和服务层逻辑。
110	结合本项目的业务特点，B/S 架构还承载了内容安全与智能处理能力：本地服务负责敏感词过滤、情感分析、热度计算和推荐组装，外部 AI 服务负责标签与摘要生成。通过把“本地稳定能力”和“外部增强能力”解耦，系统在保证业务连续性的同时，也保留了面向后续算法升级的扩展空间。
136	Campus Pulse 面向中小规模校园内容社区，性能设计更强调稳定可用、可观察和可扩展，而不是单纯追求峰值吞吐。结合当前实现，系统从请求监控、连接池、缓存一致性、定时任务和前端构建五个方面建立了性能保障机制。
138	在接口响应层，后端运行于 Spring Boot 3.5.8 内嵌 Tomcat 上，服务端口为 7800。系统通过 RequestTimingFilter 记录请求耗时，对慢请求输出告警日志；数据库访问链路则由 SlowSqlInterceptor 监控 SQL 执行时间，便于定位性能热点[4][9][15]。
139	根据 application.yml 配置，Tomcat 最大工作线程数为 200，最小空闲线程数为 20；前端统一配置请求超时与刷新令牌机制，保证弱网和高峰场景下的基本交互稳定性。该设计不追求过度拆分，而是通过清晰分层和关键链路监控控制系统复杂度。
141	并发处理方面，系统在后端使用 HikariCP 管理 MySQL 连接，最小空闲连接数为 8、最大连接数为 32；Redis 采用 Lettuce 连接池，最大活跃连接数为 20，最大等待时间为 3000 ms。两者分别承担持久化读写和高频缓存访问，能够满足帖子流、认证信息、通知统计与推荐结果等并发场景。
144	实时通信层基于 STOMP over SockJS 构建 WebSocket 通道，后端提供 `/topic/posts`、`/topic/section/{id}` 与 `/user/queue/notifications` 等订阅目标，前端在通知中心、帖子列表和板块页执行局部刷新。相比轮询，该方式能减少重复请求并提升消息到达的即时性[5][15]。
146	系统采用 Redis 版本号键控制帖子流、帖子详情和热榜缓存失效。当帖子创建、评论新增、审核状态变化或互动计数变化时，业务层只需递增对应版本号即可使旧缓存自然过期，减少大规模主动删除的开销。针对空结果，系统还设置短 TTL 空值缓存以降低缓存穿透风险，并通过 TTL 抖动缓解集中失效带来的瞬时压力。
149	当前项目主要包含三类周期性任务：一是每 10 分钟执行一次帖子热度重算，针对最近 14 天内的帖子按照“浏览 × 0.5 + 点赞 × 3 + 评论 × 5 + 收藏 × 2”的互动权重与时间衰减函数重新计算热度；二是每小时执行一次标签热度衰减，避免历史高热标签长期占据热门区域；三是浏览日志清理与等级升级，用于维持统计数据时效性和表规模稳定。
151	服务端开启了 Gzip 压缩，对 JSON、HTML、CSS、JavaScript、SVG 等响应类型进行压缩传输，并设置 2 KB 以上响应启用压缩，以减少前后端通信时的带宽占用。该策略对帖子详情、趋势统计和后台列表等返回体较大的接口尤为有效。
153	前端基于 Vite 构建，按框架库、编辑器库、图表库、WebSocket 依赖和工具依赖进行分块打包。通过静态资源拆分和浏览器缓存复用，用户再次访问时仅需重新加载变更 chunk，从而降低等待时间并提升趋势分析页和后台管理页的首屏稳定性。
229	数据库逻辑结构设计在概念模型基础上，将用户、内容、互动、治理与统计五类对象映射为 MySQL 关系模式。Campus Pulse 的初始化脚本定义了 17 张核心业务表，并包含用户标签关联、发展历程和邀请码等辅助表；设计时以查询场景驱动索引布局，通过唯一约束、组合索引和业务层校验保证一致性，在保持可维护性的同时兼顾读写效率。
261	（14）关注关系表（user_follows）：维护用户之间的关注网络，采用 (follower_id, following_id) 联合唯一约束保证关系唯一，支持关注列表、粉丝列表、关系判断与通知触发等社交基础能力。其结构如表3-14所示。
263	（15）发展历程表（sys_changelog）：用于记录平台版本更新、功能迭代和公告内容，支持前台展示与后台维护，便于将系统演化过程纳入内容化管理。其结构如表3-15所示。
274	（20）邀请码表（invite_codes）：用于维护邀请码的生成、发放、使用、过期和禁用状态，支持“必填邀请码”与“可选邀请码校验”两种注册策略，为校园社区在灰度开放或小范围试运行阶段提供灵活入口控制。其结构如表3-20所示。
305	普通用户是 Campus Pulse 的主要使用主体。围绕“低门槛发布、可信身份、及时反馈”三个目标，前台提供注册登录、资料维护、发帖评论、点赞收藏、通知查看、私信会话和个性化推荐等完整链路，保证用户从首次进入到持续活跃都能在统一界面中完成主要操作。
306	在认证与会话层，系统同时发放 accessToken 和 refreshToken，并将 sid、did 写入 JWT 声明；服务端再通过 Redis 的 `auth:access`、`auth:refresh` 和 `auth:device` 键空间校验会话与设备一致性。相比只校验令牌签名的方案，该设计更便于单设备控制、主动失效和异常登录提醒[10][14]。
